Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
PhoneUI/PhoneUI/OutLayer/Screen/MainView/MessagesIcon/Text (TMP),6044372463616,,MainUI_00001,,Wiadomości,
PhoneUI/PhoneUI/OutLayer/Screen/MainView/VirtualHome/Text (TMP),6134688411648,,MainUI_00002,,Pokój Kohaku,
PhoneUI/PhoneUI/OutLayer/Screen/MainView/QuitApplication/Text (TMP),6598217723904,,MainUI_00003,,Wyjście,
PhoneUI/PhoneUI/OutLayer/Screen/ChatView/ChatMask/ChatInput/Text Area/Placeholder,6901193273344,,MainUI_00004,,"Wpisz tekst...
Rozpocznij z '/' aby uruchomić tryb podwyższonych uprawnień...",
PhoneUI/PhoneUI/OutLayer/Screen/ChatView/NewAttachmentPanel/ImageFile/Text,8650188681216,,MainUI_00005,,Plik obrazka,
PhoneUI/PhoneUI/OutLayer/Screen/ChatView/NewAttachmentPanel/Screen/Text,8718392258560,,MainUI_00006,,Zrzut ekranu,
PhoneUI/PhoneUI/OutLayer/Screen/QuitView/ExitConfirmText,8892715921408,,MainUI_00007,,Czy na pewno chcesz wyjść?,
PhoneUI/PhoneUI/OutLayer/Screen/QuitView/GoBackBtn/Text,9207129337856,,MainUI_00008,,Powrót,
PhoneUI/PhoneUI/OutLayer/Screen/QuitView/ExitBtn/Text,9270085840896,,MainUI_00009,,Wyjście,
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/MessagesIcon/Text (TMP),10516981116928,,MainUI_00010,,Wiadomości,
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/VirtualHome/Text (TMP),10608542773248,,MainUI_00011,,Pokój Kohaku,
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/Reminders/Text (TMP),11426926981120,,MainUI_00012,,Kalendarz,
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/Memories/Text (TMP),12137383358464,,MainUI_00013,,Pamięć,
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/Shop/Text (TMP),12174117072896,,MainUI_00014,,Sklep,
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/Wizard/Text (TMP),12246489788416,,MainUI_00015,,"Kreator
Konfiguracji",
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/Settings/Text (TMP),12522126864384,,MainUI_00016,,Ustawienia,
PhoneUI/PhoneUI/OutLayer/Screen/MenuView/MenuGrid/WithList/Text (TMP),12575948173312,,MainUI_00017,,"Dodaj do
Wishlisty",
PhoneUI/PhoneUI/OutLayer/Screen/RemindersView/Title,12756047392768,,MainUI_00018,,Kalendarz,
ReminderItem/Prefab Mode in Context/ReminderItem/EditPanel/Skip/Text,12974411247616,,MainUI_00019,,Pomiń,
ReminderItem/Prefab Mode in Context/ReminderItem/EditPanel/Edit/Text,13041977290752,,MainUI_00020,,Edytuj,
ReminderItem/Prefab Mode in Context/ReminderItem/EditPanel/Remove/Text,13077385605120,,MainUI_00021,,Usuń,
PhoneUI/PhoneUI/OutLayer/Screen/NewReminder/CalendarController/CalendarBG/TitlePanel/Mondaytext,23765453664256,,MainUI_00022,,Pon,
PhoneUI/PhoneUI/OutLayer/Screen/NewReminder/CalendarController/CalendarBG/TitlePanel/TuesdayText,23785607294976,,MainUI_00023,,Wt,
PhoneUI/PhoneUI/OutLayer/Screen/NewReminder/CalendarController/CalendarBG/TitlePanel/WednesdayText,23808529166336,,MainUI_00024,,Śr,
PhoneUI/PhoneUI/OutLayer/Screen/NewReminder/CalendarController/CalendarBG/TitlePanel/ThursdayText,23872295170048,,MainUI_00025,,Czw,
PhoneUI/PhoneUI/OutLayer/Screen/NewReminder/CalendarController/CalendarBG/TitlePanel/FridayText,23896915734528,,MainUI_00026,,Pt,
PhoneUI/PhoneUI/OutLayer/Screen/NewReminder/CalendarController/CalendarBG/TitlePanel/SaturdayText,23954239287296,,MainUI_00027,,Sob,
