Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
Shop_Eb_Theme_Name,623112908800,,Shop_00001,,Motyw polecany przez EB,
Shop_Eb_Theme_Description,744823222272,,Shop_00002,,"Bardziej futurystyczna kolorystyka, pasująca do stroju wojowniczki. Ale co może znaczyć EB...?",
Shop_Futuristic_Skin_Name,798975881216,,Shop_00003,,"Unity-Chan
futurystyczna wojowniczka",
Shop_Futuristic_Skin_Description,803799330816,,Shop_00004,,"Pewnej nocy Unity-chan miała sen, w którym żyła w symulacji z przyszłości. Była wojowniczką, dzierżącą potężny miecz i zwalczającą roboty. Posiadała też moc cofania czasu w trakcie tego snu. Ten kostium był stworzony jako specjalne zlecenie by przypominać jej o tej wizji.",
Shop_Love_Theme_Name,920375816192,,Shop_00005,,Motyw - słodycz,
Shop_Love_Theme_Description,1181781618688,,Shop_00006,,"Mieszanka fioletu i białego sprawia, że interfejs jest bardziej żywy i uroczy.",
Shop_SchoolGirl_Skin_Name,1343014858752,,Shop_00007,,Mundurek szkolny Unity-chan,
Shop_SchoolGirl_Skin_Description,1465803108352,,Shop_00008,,"Mundurek Kohaku z jej liceum. O ile nie jest ona najlepszą uczennicą (jej oceny zą w najlepszym wypadku nieco powyżej średniej), zawsze daje z siebie wszystko by nauczyć się nowych rzeczy. Ma kłopoty z poprawieniem swoich ocen ze Sztuki, mimo to lubi sobie mazać proste rysunki. Jej ulubionym przedmiotem jest W-F!",
Shop_Witch_Skin_Name,1497033895936,,Shop_00009,,Strój wiedźmy Unity-chan,
Shop_WItch_Skin_Description,1529988542464,,Shop_00010,,"Kostium który Unity-chan używa na Halloween. Kohaku czasem zastanawia się, czy magia na prawdę istnieje. Przyjaciel jej taty Holger Graefenberg ma żonę imieniem Mariabelle. Unity-chan słyszała plotki, że Mariabelle ma tak jasną cerę dlatego, że jest wampirzycą! Ale jaka jest prawda, nikt nie jest całkowicie pewien...",
Shop_Virus_Damage_Name,1576104914944,,Shop_00011,,Premia obrażeń,
Shop_Virus_Damage_Description,1686796791808,,Shop_00012,,"Zwiększa obrażenia twoje i Unity-chan zadane bronią
Poziom 1: +10%
Poziom 2: +20%
Poziom 3: +30%",
Shop_Virus_FireRate_Name,1750386634752,,Shop_00013,,Predkość ataku,
Shop_Virus_FireRate_Description,1801028661248,,Shop_00014,,"Zmniejsza opóźnienie strzałów twoich i Unity-chan
Poziom 1: 5%
Poziom 2: 10%
Poziom 3: 15%",
Shop_Virus_IntegrityBoostRate_Name,1843961556992,,Shop_00015,,Szansa wypadnięcia Wzmacniacza Integralności,
Shop_Virus_IntegrityBoostRate_Description,1916288135168,,Shop_00016,,"Zwiększa szansę wypadnięcia Wzmacniaczy Integralności na śmierć przeciwnika, które mogą przywrócić twoje Punkty Integralności
Poziom 1: 1,5%
Poziom 2: 3%
Poziom 3: 5%",
Shop_Virus_MaxIntegrity_Name,1936009752576,,Shop_00017,,Maksymalna Integralność,
Shop_Virus_MaxIntegrity_Description,10706966310912,,Shop_00018,,"Zwiększa początkowe Punkty Integralności twoje i Unity-chan
Poziom 1: +30 punktów
Poziom 2: +60 punktów
Poziom 3: +100 punktów",
Shop_Virus_PickupRange_Name,10728948658176,,Shop_00019,,Zasięg podniesienia,
Shop_Virus_PickupRange_Description,10767406231552,,Shop_00020,,"Zwiększa zasię podnoszenia przedmiotów przez ciebie i Unity-chan
Poziom 1: +30% promień
Poziom 2: +60% promień
Poziom 3: +100% promień",
Shop_Virus_ReloadSpeed_Name,10808288112640,,Shop_00021,,Prędkość przeładowania,
Shop_Virus_ReloadSpeed_Description,10840009633792,,Shop_00022,,"Skraca czas przeładowania broni u ciebie i Unity-chan
Poziom 1: -10%
Poziom 2: -17,5%
Poziom 3: -25%",
Shop_Virus_RunSpeed_Name,10892245495808,,Shop_00023,,Szybkość ruchu,
Shop_Virus_RunSpeed_Description,10923111378944,,Shop_00024,,"Zwiększa twoją i Unity-chan prędkość poruszania się 
Poziom 1: 10%
Poziom 2: 15%
Poziom 3: 20%",
Shop_Virus_SpDropRate_Name,10956154105856,,Shop_00025,,Szansa wypadnięcia SP,
Shop_Virus_SpDropRate_Description,10989033254912,,Shop_00026,,"Zwiększa szansę wypanięcia cząsteczek SP na śmierć przeciwników
Poziom 1: 25%
Poziom 2: 32%
Poziom 3: 40%",
Shop_Virus_StartIntegrity_Name,11021761409024,,Shop_00027,,Początkowe Wzmacniacze Integralności,
Shop_Virus_StartIntegrity_Description,11048474931200,,Shop_00028,,"Wzmacniacze Integralności to specjalne przedmioty które ty i Unity-chan możecie użyć by się uzdrowić. To ulepszenie dodaje Wzmacniacze Integralności na początek poziomu.
Poziom 1: 1 Wzmacniacz Integralności
Poziom 2: 2 Wzmacniacze Integralności
Poziom 3: 3 Wzmacniacze Integralności",
