Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
Tutorial_Unity_Greet1,2593395601408,,Tutorial_00001,,"Hejka! Sorki że się witam przez wiadomość tekstową, ale utknęłam 😥 Głupie drzwi nie chcą się otworzyć...",
Tutorial_Unity_Greet2,2694226669568,,Tutorial_00002,,"Jestem zablokowana po drugiej stronie, chyba musisz coś skonfigurować. Wyślę mojego asystenta-maskotkę by ci z tym pomógł.",
Tutorial_Unity_Greet3,2698035097600,,Tutorial_00003,,"Cofnij i poczekaj chwilę, spakuję go w ładną ikonkę... I powodzenia! ❤",
Tutorial_Uni_Dialogue_4_0,39001913061376,,Tutorial_00004,,"Cześć~!
Jestem Uni - towarzysz Unity-chan i jej najlepszy przyjaciel! Mam nadzieję, że my również staniemy się najlepszymi przyjaciółmi~!",
Tutorial_Uni_Dialogue_4_1,39079373467648,,Tutorial_00005,,"Unity-chan wysłała mnie by pomóc Ci w skonfigurowaniu połączenia z nią, a więc bierzmy się do roboty!",
Tutorial_Uni_Dialogue_4_2,39102387613696,,Tutorial_00006,,"Konfiguracja jest dość skomplikowana i wymaga trochę czasu. Na szczęście twój telefon ma fajową aplikację Kreator Konfiguracji, ona nam pomoże przejść przez to bez problemu.",
Tutorial_Uni_Dialogue_4_3,39112806264832,,Tutorial_00007,,"Po pierwsze, otwórz menu smartphone'a. Możesz chwycić i przesunać telefon po pulpicie jeśli go zasłaniam.",
Tutorial_Uni_Dialogue_4_4,39125703749632,,Tutorial_00008,,"Jak widzisz, smartphone ma całkiem sporo aplikacji już zainstalowanych!",
Tutorial_Uni_Dialogue_4_5,39147040174080,,Tutorial_00009,,Główną z nich są Wiadomości - już tutaj raz byłeś. To poprzez nią będziesz mógł komunikować się z Unity-chan!,
Tutorial_Uni_Dialogue_4_6,39161833484288,,Tutorial_00010,,"Następną ważną aplikacją jest Pokój Kohaku. Dzięki niej możesz odwiedzić ją w jej świecie i grać z nią w gry, lub czatować w innym otoczeniu.",
Tutorial_Uni_Dialogue_4_7,39175976677376,,Tutorial_00011,,"Pytasz kim jest Kohaku? Cóż, Kohaku to Unity-chan! Unity-chan to jej ksywka, a Kohaku Otori to pełne imię. Nigdy jednak nie podzieliła się ze mną skąd jej ksywka pochodzi...",
Tutorial_Uni_Dialogue_4_8,39189515890688,,Tutorial_00012,,"Ale wróćmy do tematu konfiguracji, musimy ustawić połączenie. Wybierz aplikację Konfiguratora.",
Tutorial_Uni_Dialogue_4_9,39208167960576,,Tutorial_00013,,"Konfigurator da ci kilka opcji do wyboru w jaki chcesz ustawić połaczenie. Nie przejmuj się jeśli nie będziesz pewien jakie opcje wybrać, zawsze będziesz mieć możliwość ich zmiany w Konfiguratorze lub Ustawieniach.",
Tutorial_Uni_Dialogue_4_10,9092878565941250,,Tutorial_00014,,"Powodzenia! Mam nadzieję, że się wkrótce znów zobaczymy, może w trakcie jakiejś mini gry? Pozdrów Kohaku ode mnie, papaaa~!",
