Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
VirusOffense/Dialogues/Tutorial/Greet0,30606132801536,,VirusOffense_00001,,"Hejka~!
Haha, wyprzedziłam cię zanim zdołała załadować ci się gra!",
VirusOffense/Dialogues/Tutorial/Greet1,30642841350144,,VirusOffense_00002,,"Jesteśmy w systemie komputerowym. Został on zainfekowany przez wirusy, i teraz naszym zadaniem będzie je stąd wymieść!",
VirusOffense/Dialogues/Tutorial/Greet2,30645760585728,,VirusOffense_00003,,"Ale zanim zaczniemy strzelaninę, musisz nauczyć się podstaw. Już wiesz jak się poruszać, chodźmy do tych drzwi",
VirusOffense/Dialogues/Tutorial/FirewallWarning0,30746587459584,,VirusOffense_00004,,"Uwaga! Przed nami jest zapora sieciowa! Sama nie jest wroga, ale wciąż jest zagrożeniem jeśli przez nią przejdziemy.",
VirusOffense/Dialogues/Tutorial/FirewallWarning1,30818536550400,,VirusOffense_00005,,Ale jest sposób na uniknięcie ich! Nie będą w stanie nas zranić jeśli przez nie przemkniemy!,
VirusOffense/Dialogues/Tutorial/FirewallWarning2,30830645506048,,VirusOffense_00006,,"By wykonać unik, poruszaj się w dowolnym kierunku i kliknij [spacja]",
VirusOffense/Dialogues/Tutorial/FirewallHurt0,30947888885760,,VirusOffense_00007,,"Auć, to musiało boleć. Trzymasz się?",
VirusOffense/Dialogues/Tutorial/FirewallHurt1,31022920790016,,VirusOffense_00008,,"Pamietaj, musisz wykonać unik przez zaporę sieciową. By to zrobić, naciśnij [spacja] podczas poruszania się w dowolnym kierunku.
Spróbujmy jeszcze raz~!",
VirusOffense/Dialogues/Tutorial/Shooting0,31056580079616,,VirusOffense_00009,,Wieżyczki obronne! Padnij!,
VirusOffense/Dialogues/Tutorial/Shooting1,31058656260096,,VirusOffense_00010,,"Huh, nie atakują nas...?",
VirusOffense/Dialogues/Tutorial/Shooting2,31060774383616,,VirusOffense_00011,,"Wygląda na to że wirusy zdążyły je zranić tak bardzo, że nie mogą nic zrobić. O, i są tu jakieś pukawki dla nas do wypróbowania!",
VirusOffense/Dialogues/Tutorial/Shooting3,31165896224768,,VirusOffense_00012,,"Drzwi się zablokowały w pętli mechanizmu bezpieczeństwa, musimy zniszczyć te wieżyczki by przejść dalej.",
VirusOffense/Dialogues/Tutorial/FirewallAttack0,39992741883904,,VirusOffense_00013,,"Oho, to nie może być nic dobrego..",
VirusOffense/Dialogues/Tutorial/FirewallAttack1,40047032954880,,VirusOffense_00014,,"{{userName}}! Wszystko w porządku? O nie, a już użyłam Wzmacniacza Integralności...",
VirusOffense/Dialogues/Tutorial/FirewallAttack2,40049046220800,,VirusOffense_00015,,Może spróbuję tego...,
VirusOffense/Dialogues/Tutorial/FirewallAttack3,40050489061376,,VirusOffense_00016,,"Kiedy nie mamy żadnych Wzmacniaczy Integralności, wciąż jesteśmy w stanie współdzielić Punkty Integralności ze sobą. W ten sposób może uratować się nawzajem przed kompletną dezintegracją, ale musimy być szybcy.",
VirusOffense/Dialogues/Tutorial/FirewallAttack4,40052233891840,,VirusOffense_00017,,"Moszesz użyc Wzmacniacz Integralności i Poświęcenie Integralności poprzez kliknięcie [Q]. Ale bądź z tym ostrożny, okej?",
VirusOffense/Dialogues/Tutorial/Buttons0,66915471749120,,VirusOffense_00018,,"Okej, aby przejść do następnego pomieszczenia musimy nacisnąć dwa przyciski naraz.",
VirusOffense/Dialogues/Tutorial/Buttons1,66922782420992,,VirusOffense_00019,,"To prosty mechanizm bezpieczeństwa, ale hej, wciąż używamy powyginanych literek jako CAPTCHA by udowodnić bycie człowiekiem!",
VirusOffense/Dialogues/Tutorial/Buttons2,66923357040640,,VirusOffense_00020,,"Użyj prawego klawisza myszy bym poruszyła się w dowolnym kierunku. Od teraz możesz mi wydawać rozkazy. Tylko nie każ mi iść prosto w lawę ani nic tego rodzaju, okej?",
VirusOffense/Dialogues/Tutorial/DroneAttack0,67180451098624,,VirusOffense_00021,,"Czekaj, coś jest nie tak...",
VirusOffense/Dialogues/Tutorial/DroneAttack1,67248797282304,,VirusOffense_00022,,"Drony bezpieczeństwa! Atakują nas, przygotuj się na walkę!",
VirusOffense/Dialogues/Tutorial/DronesKilled0,67349867425792,,VirusOffense_00023,,"To był ostatni. Dziwne, poruszały się za nami ale żaden nie atakował. Może wirusy wyłączyły im bronie?",
VirusOffense/Dialogues/Tutorial/DronesKilled1,67352748912640,,VirusOffense_00024,,"Niech no zobaczę z bliska... hm, to ostrze wydaje się zatrzaśnięte...",
VirusOffense/Dialogues/Tutorial/DronesKilled2,67354292416512,,VirusOffense_00025,,"AUĆ! Zacięłam się, durna ja, durna!",
VirusOffense/Dialogues/Tutorial/DronesKilled3,67355668148224,,VirusOffense_00026,,"Na szczęśnie wzięłam ze sobą Wzmacniacz Integralności. Możemy je używać by uleczyć nas oboje kiedykolwiek chcemy, ale są jednorazowe.",
VirusOffense/Dialogues/Tutorial/DronesKilled4,67357316509696,,VirusOffense_00027,,"Widzisz? Znów mam pełne zdrowie! O, i drzwi się odblokowały, jak wygodnie! Chodźmy~!",
VirusOffense/Dialogues/Survival/GameStart0,77281698279424,,VirusOffense_00028,,"Cześć! Uważaj, jesteśmy w systemie kompletnie przepełniony wirusami...",
VirusOffense/Dialogues/Survival/GameStart1,77388002914304,,VirusOffense_00029,,"O ile nie mamy szans pokonać ich wszystkiech, wciąż możemy wyczyścić jak najwięcej fal przeciwników!",
VirusOffense/Dialogues/Survival/GameStart2,77390754377728,,VirusOffense_00030,,Jesteś gotowy? No to lecimy~!,
VirusOffense/Dialogues/Boss/Entrance0,78177010216960,,VirusOffense_00031,,"Okej, {{userName}}! Dotarliśmy do ostatniego węzła... czuję intensywne skupienie danych napływających z naprzeciwka!",
VirusOffense/Dialogues/Boss/Entrance1,242554187313152,,VirusOffense_00032,,Chodźmy! Jestem tuż za tobą ze wsparciem!,
