Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
UI/UI/GamePauseMenu/VirusOffenseMainMenuInGame/GameTitle,180584476672,,VirusOffenseUI_00001,,PAUZA,
VirusOffense/Pause/Main/Resume,464845041664,,VirusOffenseUI_00002,,KONTYNUUJ,
VirusOffense/Pause/Main/Restart,613092716544,,VirusOffenseUI_00003,,RESTART,
VirusOffense/Pause/Main/Options,675944361984,,VirusOffenseUI_00004,,OPCJE,
VirusOffense/Pause/Main/Quit,1170473775104,,VirusOffenseUI_00005,,WYJDŹ,
UI/UI/GamePauseMenu/VirusOffenseMainMenuInGame/SettingsPanel/StreamerOptions/StreamerModeInMinigamesCheckbox/Text (TMP),4721426067456,,VirusOffenseUI_00006,,"Użyj tryb Streamera w mini grach:
",
MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/NextNodeTxtBg/Title,8222357090304,,VirusOffenseUI_00007,,ODPOCZYNEK,
MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/Text/Viewport/Content/Text (TMP),10758531084288,,VirusOffenseUI_00008,,"> cat ""Węzeł/Strefa wysokiej integralności.txt""
{
<indent=5%>Na szczęście to miejsce nie zostało całkowicie zepsute przez aktywność wirusów;

Możesz zdecydować by <b>odzyskać Punkty Integralności teraz</b> lub przekonwertować je na <b>jeden Wzmacniacz Integralności</b> do użycia w trakcie walki;</indent>
}",
MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/HealBg/Text (TMP),11212577075200,,VirusOffenseUI_00009,,"> cat ""InformacjeGry/Status.txt""
 {0}: {1}/{2}, Unity-chan: {3}/{4}, Wzmacniacze: {5}
> start ""Węzeł/Wybierz Akcje.exe""",
MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/HealBg/HealNowBtn/Text (TMP),14525884297216,,VirusOffenseUI_00010,,"ULECZ_TERAZ();
<size=""24"">(+50 IP)</size>",
MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/HealBg/GetBooster/Text (TMP),14564220235776,,VirusOffenseUI_00011,,"WEZ_WZMACNIACZ();
<size=""24"">(+1 Wzmacniacz Integralności)</size>",
MainGameMap/Prefab Mode in Context/MainGameMap/MapCanvas/bg/NodeBg/NextNodeTxtBg/Title,16089843789824,,VirusOffenseUI_00012,,WYBIERZ WĘZEŁ,
LightStreamerPack/LightStreamerPack/GameplayChat/ChatView/ChatMask/ChatInput/Text Area/Placeholder,16398498426880,,VirusOffenseUI_00013,,Wpisz tekst... [esc aby zamknąć],
LightStreamerPack/LightStreamerPack/GameplayChat/Tootip,16598709334016,,VirusOffenseUI_00014,,Wciśnij [t] by otworzyć czat,
MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/Title,33487900667904,,VirusOffenseUI_00015,,Zarejestruj Nową Grę,
MinigameTable/GameStationMode/GameStation/GameStationScreen/ScreenCanvas/NewGamePanel/NewGamePanel/FormData/Name/Title,33533048156160,,VirusOffenseUI_00016,,Tytuł,
